observation_date,BBKMGDP
1995-07-01,1.9548327222040624562
1995-08-01,5.4572155666663633156
1995-09-01,3.7287929851018097871
1995-10-01,1.1177586896077591483
1995-11-01,2.5517347814020463481
1995-12-01,3.0062224103762980043
1996-01-01,-0.2365956987458600891
1996-02-01,6.2292885136810784985
1996-03-01,6.5364581528789020837
1996-04-01,7.4713354364018860210
1996-05-01,6.8595357335547264555
1996-06-01,4.1088221948701875164
1996-07-01,1.8081880319679655145
1996-08-01,3.4289177045773127084
1996-09-01,4.8130299751705676314
1996-10-01,4.7463552805635398357
1996-11-01,4.5977149721208192545
1996-12-01,0.6953811460855048310
1997-01-01,0.2777926508215324830
1997-02-01,5.0153000081695218171
1997-03-01,6.3096770574037339685
1997-04-01,7.6809627199121024432
1997-05-01,6.5873990164300870731
1997-06-01,5.5873856103312196097
